Mine_ID,Latitude,Longitude,State,Mine_Name,Mine_Status,Substatus,Commodity,C1_Temperature,C2_Rainfall,C3_Faults,C4_Direct_Use,C5_Roads,C6_Railways,C7_Powerlines,C8_Ports,C9_Health,C10_Manufacturing,C11_Agriculture,C12_Education,C13_Data_Centres,C14_Built_Up,TOPSIS_Score,Rank,Suitability_Class
17662,-35.657543,147.595871,NSW,Mountaineer Mine,Inactive mine,Ceased/Terminated,Au,30.123,800.0,25.0741035315,64.4072462051,2.23219970872,20.0695497291,26.275377442,263.700581015,25.9922189758,54.9700110951,50.9461349477,62.7978218254,64.4224549613,23.8068151835,0.832347,20007,Moderately Suitable
17663,-35.681537,147.58827,NSW,"Four Mile Creek Mine, Anglo-American Minnie Reef, Deans Creek Mines",Inactive mine,Ceased/Terminated,Au,30.0524,800.0,26.9615968207,63.6855393691,0.50599817478,21.4497930623,24.9016284112,262.61817847,24.6868904023,54.389606743,53.434995954,65.1007530527,66.7458742731,23.7266713359,0.832225,20162,Moderately Suitable
17664,-35.676135,147.622508,NSW,Rangatira Mine,Inactive mine,Ceased/Terminated,Au,29.6571,800.0,23.9597290307,62.8867245305,2.3608413658,18.3307886391,28.0543871586,260.531011978,27.8410440659,57.4465769575,53.4839586974,65.565404393,67.1675800286,21.3833287107,0.831577,20941,Moderately Suitable
17665,-35.699878,147.634099,NSW,"Just-In-Time Mine, Yourns and Whip Shafts, Merribong Anomaly Area, Just in time Extended",Inactive mine,Ceased/Terminated,Au,29.3339,800.0,24.3139889853,60.0522454954,0.43986078531,18.458125015,28.6403615219,258.089318157,28.5000475359,58.6832931811,56.2943906046,68.2431596255,70.0038912857,20.6128141037,0.831076,21644,Moderately Suitable
17666,-35.70806,147.63831,NSW,Perseverance Mine,Inactive mine,Ceased/Terminated,Au,29.2264,800.0,24.4190006233,59.0674935441,0.11974334962,18.5774817438,28.9235452763,257.234315501,28.8079516027,59.1543926243,57.2682342836,68.0872745446,70.9880022252,20.4121206014,0.830904,21860,Moderately Suitable
17667,-35.690331,147.727845,NSW,Boyds Workings,Inactive mine,Ceased/Terminated,Au,28.5371,800.0,16.3786640316,58.0907162065,0.15592549331,10.9123854564,23.9630101372,252.081809438,26.9954846843,57.4380703257,57.9387241695,61.8760570372,72.3998006785,12.0842531895,0.83255,19751,Moderately Suitable
17668,-35.644552,147.759152,NSW,Courtises Reef,Inactive mine,Ceased/Terminated,Au,28.6311,800.0,11.4421935306,56.6189202899,1.52407541501,5.5866654733,23.2430800275,253.130391251,26.8490766727,51.7446101823,54.510666448,56.3473102901,69.2990031146,9.38471100498,0.834052,18711,Suitable
17669,-35.505992,148.12495,NSW,"Sesame Gold Mine, L'aiglon Gold Mine",Inactive mine,Ceased/Terminated,Au,27.3711,1250.0,13.4838743424,24.3726077236,2.02365996058,2.4074023748,2.56981771538,239.98084009,2.76161252456,23.3166042437,66.865668568,23.914383956,81.5655923193,1.43180761303,0.859682,1857,Suitable
17670,-35.510915,148.153612,NSW,Reedy Flat Creek Alluvials,Inactive mine,Ceased/Terminated,Au,27.2701,1250.0,13.1984722703,24.1017267863,0.55462599846,0.11731068857,0.28712252212,237.839175086,1.34238306379,23.4431929613,69.3992433481,23.6123281537,83.8638438434,0.41659893831,0.859765,1835,Suitable
17671,-35.516602,148.124194,NSW,Walshs Dyke Prospect,Inactive mine,Ceased/Terminated,Au,27.3502,1250.0,14.596476916,25.5009651653,1.53502033937,2.22663192564,2.37264147658,239.153545529,2.2534814789,24.4974213881,67.3954229499,25.038342788,82.1508998616,1.12541465969,0.8595,1894,Suitable
17672,-35.529087,148.123541,NSW,Sawmill Mine,Inactive mine,Ceased/Terminated,Au,27.3249,1250.0,15.9107574808,26.8274176993,0.30620030058,2.26305868299,1.54904813075,238.169399538,2.32068788986,25.8857417324,68.0580338198,26.3599788967,82.8736119547,1.65847763458,0.859303,1935,Suitable
17673,-35.603692,148.098276,NSW,Laurel Hill Deep Lead,Inactive mine,Ceased/Terminated,Au,27.2057,1250.0,17.6004543228,35.4112751469,0.40880461924,9.31517850865,1.09573353116,233.721739525,10.0363641504,34.3320769524,70.91653284,34.9387857475,86.0298425245,9.15784402844,0.857616,2329,Suitable
17674,-35.628694,148.092356,NSW,"Leykaufes Hill Deep Lead, Stockyard Gully Workings",Inactive mine,Ceased/Terminated,Au,27.1466,1250.0,15.7831794022,38.2180190791,1.048178511,12.0299979449,2.23996813555,232.120358051,12.7813936715,37.151171707,72.2552118094,37.7427282903,87.4251330612,11.8871391568,0.857082,2474,Suitable
17675,-35.636865,148.086018,NSW,Leykaufes Hill area workings,Inactive mine,Ceased/Terminated,Au,27.1397,1250.0,14.8410793669,39.2580841301,1.49683021115,13.0960294921,2.40318961495,231.884301272,13.8426383793,38.1204430576,72.4101179879,38.7847278192,87.5995354394,12.9545036065,0.85692,2514,Suitable
17676,-35.641523,148.069337,NSW,Lagoon Gully Deep Lead,Inactive mine,Ceased/Terminated,Au,27.1729,1250.0,13.2704993658,40.2397091785,0.34524844871,14.2635206881,1.6348864439,232.593422066,14.973767886,38.8487613544,71.624049644,39.7756539702,86.8350598083,13.7235214514,0.857049,2487,Suitable
17677,-35.663477,148.033171,NSW,"Tarcutta Creek Alluvials, Tarcutta Swamp Alluvials",Inactive mine,Ceased/Terminated,"Au, Sn",27.216,1250.0,9.22641403862,43.7061102482,1.44245106323,12.217217173,0.36489366171,233.251045227,12.8299939568,41.8799739543,70.946079415,43.2580736198,86.1931426196,10.5725302322,0.857236,2416,Suitable
17678,-35.666187,148.057502,NSW,Cherry Hill Deep Lead,Inactive mine,Ceased/Terminated,Au,27.1283,1250.0,11.0045049994,43.1800031164,0.33200256864,13.1734388669,2.48009205745,231.451906989,13.0796529373,41.7295760185,72.7191934427,42.7163705828,87.958754301,10.7841671641,0.856938,2504,Suitable
17679,-35.67403,148.08093,NSW,Back Creek Reef,Inactive mine,Ceased/Terminated,Au,27.039,1250.0,12.4340410028,43.3323074997,2.59444568838,13.5360260457,4.74610719296,229.321800187,13.1501619548,42.2733597511,74.8492542304,42.8533323063,90.0819643167,10.8979295735,0.856327,2673,Suitable
17680,-35.702999,148.050261,NSW,Tumbarumba Creek Alluvials,Inactive mine,Ceased/Terminated,"Au, Sn, sapphire",27.0217,1250.0,8.44732359007,47.2514001722,0.66375984236,9.30733163018,3.02436708859,229.116942072,9.03091015235,45.8692499275,75.1815134445,46.7827048787,90.4316827071,6.74566384135,0.856653,2588,Suitable
17681,-35.715792,148.03053,NSW,Surface Hill Deep Lead,Inactive mine,Ceased/Terminated,Au,27.038,800.0,6.19801789919,49.192903602,1.31842254774,7.16098219273,1.96010195638,229.463487012,7.09369659422,47.6035056871,75.0334306169,48.7316250488,90.2763164226,4.80623772414,0.835359,17791,Suitable
17682,-35.721166,147.97303,NSW,Savage and Party Workings,Inactive mine,Ceased/Terminated,Au,27.2233,800.0,1.36269417526,51.7861782966,0.99559680961,3.9722182363,2.30647987409,232.928993163,7.05753069583,49.5080326426,72.1735804776,51.3542578748,87.3686304201,5.13935710894,0.835694,17613,Suitable
17683,-35.711615,148.099081,NSW,Unnamed Mine 17683,Inactive mine,Ceased/Terminated,Au,26.8735,1250.0,11.5996174763,46.9264667753,4.63292177356,11.7695123877,7.5240613165,225.247705055,10.8683254094,46.2624066699,78.9396518921,46.4317860931,94.1846471887,8.92154470682,0.855409,2883,Suitable
17684,-35.703274,148.151393,NSW,Herlyn and Hydes Reef,Inactive mine,Ceased/Terminated,Au,26.7692,1250.0,16.2059341908,45.1280904325,9.44277172869,16.2941862371,8.63907994375,222.493154745,15.1960086733,44.6203157925,81.7287499485,44.6117057218,91.276562249,13.462790743,0.854178,3177,Suitable
17685,-35.708035,148.16162,NSW,"Premier Mine, Storeys Reef",Inactive mine,Ceased/Terminated,Au,26.7333,1250.0,16.7708947396,45.5336631848,10.2998896091,16.8851477264,7.77746422568,221.463465857,15.7142081278,45.0587021691,82.7694112259,45.0130850763,90.6845535005,14.0767547483,0.853906,3274,Suitable
